Player,Position,Team(s),Date_of_Birth,Height,Weight,College,Years_Played
Dennis Daley,OL,JAX,8/7/1996,78,325,South Carolina; Georgia Military,6
Ezra Cleveland,OL,JAX,5/8/1998,78,311,Boise State,6
Jerome Carvin,OL,JAX,9/20/2000,77,307,Tennessee,1
Jonah Monheim,OL,JAX,6/7/2002,77,310,USC,0
Patrick Mekari,OL,JAX,8/13/1997,76,305,California,7
Ricky Lee,OL,JAX,11/16/1999,77,289,North Carolina A&T,2
Robert Hainsey,OL,JAX,8/12/1998,76,306,Notre Dame,5
Sal Wormley,OL,JAX,7/23/2001,75,327,Penn State,0
Tremayne Anchrum,OL,JAX,6/24/1998,74,314,Clemson,5
Walker Little,OL,JAX,4/1/1999,79,325,Stanford,5
Wyatt Milum,OL,JAX,12/27/2002,78,317,West Virginia,0
Logan Cooke,P,JAX,7/28/1995,77,230,Mississippi State,8
Nick Mullens,QB,JAX,3/21/1995,73,210,Southern Mississippi,7
Trevor Lawrence,QB,JAX,10/6/1999,78,220,Clemson,5
Bhayshul Tuten,RB,JAX,2/14/2002,69,209,Virginia Tech; North Carolina A&T,0
Ja'Quinden Jackson,RB,JAX,9/12/2001,74,233,Arkansas; Utah; Texas,0
Kevin Harris,RB,JAX,11/17/2000,70,225,South Carolina,2
LeQuint Allen Jr.,RB,JAX,8/5/2004,72,201,Syracuse,0
Travis Etienne,RB,JAX,1/26/1999,70,215,Clemson,5
Brenton Strange,TE,JAX,12/27/2000,76,253,Penn State,3
Hunter Long,TE,JAX,8/19/1998,77,243,Boston College,5
John Copenhaver,TE,JAX,,,,,
Johnny Mundt,TE,JAX,11/23/1994,76,243,Oregon,8
Jordan Akins,TE,JAX,4/19/1992,76,245,UCF,8
Patrick Herbert,TE,JAX,10/18/2000,77,255,Oregon,0
Quintin Morris,TE,JAX,1/21/1999,74,243,Bowling Green,4
Shawn Bowman,TE,JAX,5/16/2000,76,249,Rutgers; Maine,0
Austin Trammell,WR,JAX,7/4/1998,70,185,Rice,3
Brian Thomas Jr.,WR,JAX,10/8/2002,74,209,LSU,2
Cam Camper,WR,JAX,,,,,
Chandler Brayboy,WR,JAX,8/20/2001,73,199,Elon,0
Darius Lassiter,WR,JAX,,,,,
Dorian Singer,WR,JAX,,,,,
Dyami Brown,WR,JAX,11/1/1999,72,195,North Carolina,5
Erik Ezukanma,WR,JAX,1/25/2000,74,210,Texas Tech,3
Joshua Cephus,WR,JAX,3/5/2001,74,193,Texas-San Antonio,1
Parker Washington,WR,JAX,3/21/2002,70,204,Penn State,3
Tim Patrick,WR,JAX,11/23/1993,77,210,Utah; Grossmont,8
Travis Hunter,WR,JAX,5/18/2003,73,185,Colorado; Jackson State University,0
Jakobi Meyers,WR,"JAX, LV",11/9/1996,73,193,N.C. State,7
Kahlef Hailassie,DB,"JAX, MIN",11/9/2000,73,195,Western Kentucky; Oregon,3
John Wolford,QB,"JAX, MIN",10/16/1995,73,218,Wake Forest,5
Tim Jones,WR,"JAX, MIN",5/15/1998,73,200,Southern Mississippi,4
Khalen Saunders,DL,"JAX, NYJ",8/9/1996,72,324,Western Illinois,7
Trenton Irwin,WR,"JAX, NYJ",12/10/1995,74,204,Stanford,6
Tank Bigsby,RB,"JAX, PHI",8/30/2002,71,215,Auburn,3
Juan Thornhill,DB,"JAX, PIT",10/19/1995,72,205,Virginia,7
Kilian Zierer,OL,"JAX, SF",2/24/2000,79,312,Auburn,2
Carter Bradley,QB,"JAX, SF",3/9/2000,75,213,South Alabama; Toledo,1
Azizi Hearn,DB,KC,6/5/1999,73,204,UCLA; Arizona,1
Bryan Cook,DB,KC,9/7/1999,73,206,Cincinnati; Howard,4
Chamarri Conner,DB,KC,7/11/2000,72,202,Virginia Tech,3
Christian Roland-Wallace,DB,KC,11/23/2001,71,202,USC; Arizona,2
Deon Bush,DB,KC,8/14/1993,72,200,Miami,9
Eric Scott Jr.,DB,KC,8/7/1999,74,202,Southern Mississippi,2
Glendon Miller,DB,KC,,,,,
Jacobe Covington,DB,KC,,,,,
Jaden Hicks,DB,KC,8/16/2002,73,215,Washington State,2
Jaylen Watson,DB,KC,9/17/1998,74,197,Washington State; Ventura,4
Joshua Williams,DB,KC,10/17/1999,75,193,Fayetteville State University,4
Kevin Knowles,DB,KC,4/9/2003,71,190,Florida State,0
Kristian Fulton,DB,KC,9/3/1998,71,197,LSU,5
Major Williams,DB,KC,,,,,
Melvin Smith Jr.,DB,KC,4/12/2002,73,185,Southern Arkansas,0
Mike Edwards,DB,KC,5/18/1996,70,205,Kentucky,7
Nazeeh Johnson,DB,KC,7/17/1998,70,199,Marshall,4
Nohl Williams,DB,KC,9/23/2002,73,200,California,0
Trent McDuffie,DB,KC,9/13/2000,71,193,Washington,4
Ashton Gillotte,DL,KC,10/30/2002,75,270,Louisville,0
BJ Thompson,DL,KC,3/23/1999,78,243,Stephen F. Austin State,3
Charles Omenihu,DL,KC,8/20/1997,77,280,Texas,7
Chris Jones,DL,KC,7/3/1994,78,310,Mississippi State,10
Derrick Nnadi,DL,KC,5/9/1996,73,317,Florida State,8
Ethan Downs,DL,KC,10/13/2002,76,260,Oklahoma,0
Felix Anudike-Uzomah,DL,KC,1/24/2002,76,255,Kansas State,3
George Karlaftis,DL,KC,4/3/2001,76,263,Purdue,4
Janarius Robinson,DL,KC,5/4/1998,77,263,Florida State,5
Jerry Tillery,DL,KC,10/8/1996,78,295,Notre Dame,7
Malik Herring,DL,KC,11/9/1997,75,275,Georgia,5
Marlon Tuipulotu,DL,KC,5/31/1999,74,307,USC,5
Michael Danna,DL,KC,12/4/1997,74,257,Michigan,6
Nate Matlack,DL,KC,,,,,
Omarr Norman-Lott,DL,KC,3/11/2002,75,315,Tennessee; Arizona State,0
Owen Carney,DL,KC,2/8/1999,75,275,Illinois,0
Zacch Pickens,DL,KC,3/6/2000,76,303,South Carolina,3
Harrison Butker,K,KC,7/14/1995,76,205,Georgia Tech,9
Brandon George,LB,KC,11/19/2000,75,240,Pittsburgh,0
Cole Christiansen,LB,KC,7/30/1997,73,230,Army,2
Cooper McDonald,LB,KC,8/7/2001,75,240,TCU; San Diego State,0
Drue Tranquill,LB,KC,8/15/1995,74,234,Notre Dame,7
Ethan Downs,LB,KC,10/13/2002,76,260,Oklahoma,0
Jack Cochrane,LB,KC,2/9/1999,75,236,South Dakota,4
Jeffrey Bassa,LB,KC,9/20/2002,74,235,Oregon,0
Leo Chenal,LB,KC,10/26/2000,75,250,Wisconsin,4
Nick Bolton,LB,KC,3/10/2000,71,237,Missouri,5
Tyreke Smith,LB,KC,2/14/2000,75,255,Ohio State,3
Xander Mueller,LB,KC,,,,,
James Winchester,LS,KC,8/6/1989,75,240,Oklahoma,11
C.J. Hanson,OL,KC,3/3/2001,77,300,Holy Cross,2
Chukwuebuka Godrick,OL,KC,10/11/2000,77,293,,1
Creed Humphrey,OL,KC,6/28/1999,76,302,Oklahoma,5
Ethan Driskell,OL,KC,6/29/2000,80,313,Marshall,2
Hunter Nourzad,OL,KC,11/26/2000,75,317,Penn State; Cornell,2
Jawaan Taylor,OL,KC,11/25/1997,77,330,Florida,7
Jaylon Moore,OL,KC,1/9/1998,76,311,Western Michigan,5
Joey Lombard,OL,KC,,,,,
Josh Simmons,OL,KC,12/26/2002,77,310,Ohio State; San Diego State,0
Kingsley Suamataia,OL,KC,1/18/2003,76,326,BYU; Oregon,2
Mike Caliendo,OL,KC,10/21/1997,76,300,Western Michigan,3
Trey Smith,OL,KC,6/16/1999,78,321,Tennessee,5
Wanya Morris,OL,KC,10/10/2000,78,307,Oklahoma; Tennessee,3
Matt Araiza,P,KC,5/16/2000,74,200,San Diego State,2
Chris Oladokun,QB,KC,9/3/1997,73,213,South Dakota State,1
Gardner Minshew,QB,KC,5/16/1996,73,225,Washington State,7
Patrick Mahomes,QB,KC,9/17/1995,74,225,Texas Tech,9
Brashard Smith,RB,KC,4/11/2003,70,196,SMU; Miami,0
Carson Steele,RB,KC,10/1/2002,72,228,UCLA; Ball State,2
Clyde Edwards-Helaire,RB,KC,4/11/1999,67,207,LSU,6
Isiah Pacheco,RB,KC,3/2/1999,70,216,Rutgers,4
Kareem Hunt,RB,KC,8/6/1995,71,216,Toledo,9
Keaontay Ingram,RB,KC,10/26/1999,72,221,USC,3
Geor'Quarius Spivey,TE,KC,,,,,
Jake Briningstool,TE,KC,12/9/2002,78,240,Clemson,0
Jared Wiley,TE,KC,11/2/2000,78,249,TCU; Texas,2
Noah Gray,TE,KC,4/30/1999,75,240,Duke,5
Robert Tonyan,TE,KC,4/30/1994,77,240,Indiana State,7
Travis Kelce,TE,KC,10/5/1989,77,250,Cincinnati,13
Tre Watson,TE,KC,10/12/2002,77,250,Texas A&M; Fresno State,0
Elijhah Badger,WR,KC,,,,,
Jalen Royals,WR,KC,2/18/2003,72,195,Utah State,0
Jason Brownlee,WR,KC,1/30/1999,75,202,Southern Mississippi,2
JuJu Smith-Schuster,WR,KC,11/22/1996,73,215,USC,9
Key'Shawn Smith,WR,KC,,,,,
Marquise Brown,WR,KC,6/4/1997,69,180,Oklahoma; College of the Canyons,7
Nikko Remigio,WR,KC,11/4/1999,69,187,Fresno State,1
Rashee Rice,WR,KC,4/22/2000,73,203,SMU,3
Tyquan Thornton,WR,KC,8/7/2000,74,185,Baylor,4
Xavier Worthy,WR,KC,4/27/2003,71,165,Texas,2
Brodric Martin,DL,"KC, LV, PIT",5/24/1999,77,326,Western Kentucky,3
Matt Waletzko,OL,"KC, MIN",12/15/1999,80,320,North Dakota,4
Elijah Mitchell,RB,"KC, NE",5/2/1998,70,200,Louisiana-Lafayette,5
Esa Pole,OL,"KC, NYJ",7/4/2001,79,319,Washington State; Chabot College,0
Jimmy Holiday,WR,"KC, SEA",12/16/2001,73,211,Louisiana Tech; Western Kentucky; Tennessee,0
Mac Dalena,WR,"KC, SEA",,,,,
Michael Wiley,RB,"KC, TB",11/10/2001,70,209,Arizona,1
Hal Presley,WR,"KC, TEN",1/22/2002,75,210,Baylor,0
Kam Arnold,LB,"KC, WAS",2/19/2002,73,229,Boston College,0
Ahkello Witherspoon,DB,LA,3/21/1995,74,195,Colorado; Sacramento City,9
Cam Lampkin,DB,LA,7/31/2001,71,176,Washington State; Utah State,1
Cobie Durant,DB,LA,2/9/1998,71,182,South Carolina State,4
Darious Williams,DB,LA,3/15/1993,69,192,UAB,8
Emmanuel Forbes,DB,LA,1/13/2001,72,180,Mississippi State,3
Jaylen McCollough,DB,LA,10/12/2000,72,202,Tennessee,2
Josh Wallace,DB,LA,7/5/2000,72,190,Michigan; UMass Amherst,2
Kam Curl,DB,LA,3/3/1999,74,205,Arkansas,6
Kamren Kinchens,DB,LA,9/29/2002,71,207,Miami,2
Malik Dixon-Williams,DB,LA,,,,,
Nate Valcarcel,DB,LA,5/23/2002,73,192,Northern Illinois; South Dakota,0
Quentin Lake,DB,LA,1/29/1999,73,196,UCLA,4
Shaun Jolly,DB,LA,10/17/1998,69,186,Appalachian State,3
Tanner Ingle,DB,LA,10/29/1999,68,195,N.C. State,1
Bill Norton,DL,LA,7/7/2000,78,335,Texas; Arizona; Georgia,0
Braden Fiske,DL,LA,1/18/2000,77,291,Florida State; Western Michigan,2
Da'Jon Terry,DL,LA,,,,,
Decarius Hawthorne,DL,LA,,,,,
Desjuan Johnson,DL,LA,9/2/1999,75,280,Toledo,3
Jack Heflin,DL,LA,3/8/1998,75,304,Iowa,2
Kobie Turner,DL,LA,4/26/1999,74,297,Wake Forest,3
Larrell Murchison,DL,LA,4/24/1997,74,285,N.C. State; Louisburg,6
Poona Ford,DL,LA,11/19/1995,71,310,Texas,8
Ty Hamilton,DL,LA,4/15/2002,75,295,Ohio State,0
Tyler Davis,DL,LA,11/1/2000,74,300,Clemson,2
Byron Young,LB,LA,3/13/1998,74,258,Tennessee,3
Elias Neal,LB,LA,9/11/2001,72,226,Marshall,2
Jared Verse,LB,LA,11/4/2000,76,260,Florida State; Albany,2
Jesse Luketa,LB,LA,1/15/1999,75,252,Penn State,4
Josaiah Stewart,LB,LA,4/26/2003,73,249,Michigan; Coastal Carolina,0
Josh Pearcy,LB,LA,,,,,
Keir Thomas,LB,LA,1/25/1998,74,260,Florida State,3
Nate Landman,LB,LA,11/19/1998,75,235,Colorado,4
Nick Hampton,LB,LA,4/5/2000,75,250,Appalachian State,3
Omar Speights,LB,LA,3/2/2001,73,228,LSU; Oregon State,2
Shaun Dolac,LB,LA,9/14/2001,73,225,Buffalo,0
Tony Fields II,LB,LA,6/18/1999,72,222,West Virginia,4
Troy Reeder,LB,LA,9/13/1994,75,236,Delaware,7
Alex Ward,LS,LA,4/21/1999,76,240,UCF,3
Jake McQuaide,LS,LA,12/7/1987,74,238,Ohio State,15
A.J. Arcuri,OL,LA,8/13/1997,79,308,Michigan State,2
Alaric Jackson,OL,LA,7/14/1998,79,345,Iowa,5
Beaux Limmer,OL,LA,6/10/2001,77,312,Arkansas,2
Ben Dooley,OL,LA,,,,,
Coleman Shelton,OL,LA,7/28/1995,77,285,Washington,7
D.J. Humphries,OL,LA,12/28/1993,77,307,Florida,11
David Quessenberry,OL,LA,8/24/1990,77,310,San Jose State,8
Dylan McMahon,OL,LA,1/22/2001,75,298,N.C. State,2
John Leglue,OL,LA,4/17/1996,79,310,Tulane,2
Justin Dedich,OL,LA,4/21/2000,74,300,USC,2
Kevin Dotson,OL,LA,9/18/1996,76,330,Louisiana-Lafayette,6
Mike Mcallister,OL,LA,6/12/1999,74,308,Youngstown State,1
Rob Havenstein,OL,LA,5/13/1992,80,323,Wisconsin,11
Steve Avila,OL,LA,10/16/1999,75,338,TCU,3
Warren McClendon Jr.,OL,LA,4/11/2001,76,317,Georgia,3
Ethan Evans,P,LA,7/19/2001,75,250,Wingate,3
Dresser Winn,QB,LA,11/11/1998,75,215,Tennessee-Martin,0
Jimmy Garoppolo,QB,LA,11/2/1991,74,225,Eastern Illinois,12
Matthew Stafford,QB,LA,2/7/1988,75,214,Georgia,17
Stetson Bennett,QB,LA,10/28/1997,71,190,Georgia; Jones County JC,2
Blake Corum,RB,LA,11/25/2000,68,210,Michigan,2
Jarquez Hunter,RB,LA,12/29/2002,70,209,Auburn,0
Jordan Waters,RB,LA,,,,,
Kyren Williams,RB,LA,8/26/2000,69,202,Notre Dame,4
Ronnie Rivers,RB,LA,1/31/1999,69,192,Fresno State,4
Colby Parkinson,TE,LA,1/7/1999,79,265,Stanford,6
Davis Allen,TE,LA,2/3/2001,78,251,Clemson,3
Mark Redman,TE,LA,1/20/2002,77,255,Louisville; San Diego State,0
Terrance Ferguson,TE,LA,3/7/2003,77,255,Oregon,0
Tyler Higbee,TE,LA,1/1/1993,78,255,Western Kentucky,10
Brennan Presley,WR,LA,2/2/2002,68,174,Oklahoma State,0
Davante Adams,WR,LA,12/24/1992,73,215,Fresno State,12
Drake Stoops,WR,LA,6/16/1999,70,189,Oklahoma,0
Jordan Whittington,WR,LA,10/1/2000,73,202,Texas,2
Konata Mumpfield,WR,LA,10/24/2002,73,185,Pittsburgh; Akron,0
Mario Williams,WR,LA,,,,,
Puka Nacua,WR,LA,5/29/2001,74,212,BYU; Washington,3
Tru Edwards,WR,LA,6/9/2001,75,201,Louisiana Tech; Hawaii; Navarro,0
Tutu Atwell,WR,LA,10/7/1999,69,165,Louisville,5
Xavier Smith,WR,LA,9/21/1997,69,176,Florida A&M,2
Chris Smith II,DB,"LA, LV, NYJ",5/1/2000,70,197,Georgia,3
A.J. Green,DB,"LA, MIA",6/9/1998,74,198,Oklahoma State,3
Nick Vannett,TE,"LA, MIN",3/6/1993,78,257,Ohio State,10
Harrison Mevis,K,"LA, NYJ",3/27/2002,72,245,Missouri,1
Ben Niemann,LB,"LA, NYJ",7/27/1995,74,235,Iowa,8
Tre Brown,DB,"LA, NYJ, SF",9/24/1997,70,185,Oklahoma,5
Derion Kendrick,DB,"LA, SEA",8/24/2000,72,190,Georgia; Clemson,4
Roger McCreary,DB,"LA, TEN",2/10/2000,71,190,Auburn,4
Benjamin St-Juste,DB,LAC,9/8/1997,75,200,Minnesota,5
Cam Hart,DB,LAC,12/5/2000,74,207,Notre Dame,2
Deane Leonard,DB,LAC,11/20/1999,72,195,Mississippi,4
Derwin James,DB,LAC,8/3/1996,74,215,Florida State,8
Donte Jackson,DB,LAC,11/8/1995,70,180,LSU,7
Elijah Molden,DB,LAC,1/30/1999,70,191,Washington,5
Emany Johnson,DB,LAC,11/17/2000,74,218,Nevada,1
Eric Rogers,DB,LAC,4/2/2002,74,189,Rutgers,0
Harrison Hand,DB,LAC,11/12/1998,71,185,Temple,3
Jaylen Jones,DB,LAC,,,,,
Jordan Oladokun,DB,LAC,7/29/2002,72,190,Bowling Green; Samford,0
Kendall Williamson,DB,LAC,8/24/2000,72,203,Stanford,1
Marcus Maye,DB,LAC,3/9/1993,72,207,Florida,9
Marcus Williams,DB,LAC,9/8/1996,73,204,Utah,9
Nehemiah Shelton,DB,LAC,9/13/1999,74,185,San Jose State,1
Nikko Reed,DB,LAC,3/3/2003,70,180,Oregon; Colorado,0
R.J. Mickens,DB,LAC,7/10/2001,72,210,Clemson,0
Tarheeb Still,DB,LAC,6/9/2002,73,196,Maryland,2
Tony Jefferson,DB,LAC,1/27/1992,71,211,Oklahoma,11
Christopher Hinton,DL,LAC,9/14/2000,76,310,Michigan,2
Da'Shawn Hand,DL,LAC,11/14/1995,75,302,Alabama,8
Jamaree Caldwell,DL,LAC,8/30/2000,73,340,Oregon; Houston; Independence Comm. College,0
Josh Fuga,DL,LAC,2/14/2001,74,313,Virginia Tech,0
Justin Eboigbe,DL,LAC,4/9/2001,77,292,Alabama,2
Kyle Peko,DL,LAC,7/23/1993,73,305,Oregon State; Cerritos College,7
Nesta Jade Silvera,DL,LAC,1/23/2000,74,315,Arizona State; Miami,2
Otito Ogbonnia,DL,LAC,8/25/2000,76,320,UCLA,4
TeRah Edwards,DL,LAC,6/3/2001,74,305,Illinois; Northwestern,0
Teair Tart,DL,LAC,2/28/1997,74,315,Florida International,6
Cameron Dicker,K,LAC,5/6/2000,73,216,Texas,4
Bud Dupree,LB,LAC,2/12/1993,76,269,Kentucky,11
Daiyan Henley,LB,LAC,11/18/1999,73,225,Washington State; Nevada,3
Del'Shawn Phillips,LB,LAC,10/9/1996,74,230,Illinois,6
Denzel Perryman,LB,LAC,12/5/1992,71,240,Miami,11
Emany Johnson,LB,LAC,11/17/2000,74,218,Nevada,1
Garmon Randolph,LB,LAC,10/5/2000,80,260,Baylor,0
Junior Colson,LB,LAC,12/6/2002,75,247,Michigan,2
Khalil Mack,LB,LAC,2/22/1991,75,269,Buffalo,12
Kylan Guidry,LB,LAC,,,,,
Kyle Kennard,LB,LAC,12/12/2001,77,254,South Carolina,0
Marlowe Wax,LB,LAC,12/13/2002,73,236,Syracuse,0
Tre'Mon Morris-Brash,LB,LAC,9/29/2000,74,245,UCF,0
Troy Dye,LB,LAC,9/18/1996,75,225,Oregon,6
Tuli Tuipulotu,LB,LAC,9/3/2002,75,266,USC,3
Josh Harris,LS,LAC,4/27/1989,73,224,Auburn,14
Peter Bowden,LS,LAC,1/24/2001,74,242,Wisconsin,1
Rick Lovato,LS,LAC,9/9/1992,74,249,Old Dominion,9
Andre James,OL,LAC,5/2/1997,76,300,UCLA,7
Austin Deculus,OL,LAC,3/12/1999,77,321,LSU,3
Bradley Bozeman,OL,LAC,11/24/1994,77,325,Alabama,8
Branson Taylor,OL,LAC,2/13/2002,78,330,Pittsburgh,0
Corey Stewart,OL,LAC,,,,,
Foster Sarell,OL,LAC,8/28/1998,78,322,Stanford,4
Jamaree Salyer,OL,LAC,7/13/2000,76,325,Georgia,4
Joe Alt,OL,LAC,2/28/2003,80,322,Notre Dame,2
Josh Kaltenberger,OL,LAC,8/10/2001,78,308,Maryland; Purdue,0
Mekhi Becton,OL,LAC,4/18/1999,79,363,Louisville,6
Rashawn Slater,OL,LAC,3/26/1999,76,315,Northwestern,5
Ryan Nelson,OL,LAC,,,,,
Savion Washington,OL,LAC,4/12/2002,81,340,Syracuse; Colorado; Kent State,0
Trey Pipkins,OL,LAC,9/5/1996,78,307,Sioux Falls,7
Zion Johnson,OL,LAC,11/18/1999,75,316,Boston College; Davidson,4
J.K. Scott,P,LAC,10/30/1995,77,208,Alabama,7
DJ Uiagalelei,QB,LAC,4/17/2001,76,252,Florida State; Oregon State; Clemson,0
Justin Herbert,QB,LAC,3/10/1998,78,236,Oregon,6
Taylor Heinicke,QB,LAC,3/15/1993,73,210,Old Dominion,10
Trey Lance,QB,LAC,5/9/2000,76,226,North Dakota State,5
Amar Johnson,RB,LAC,1/31/2003,70,205,South Dakota State,0
Hassan Haskins,RB,LAC,11/26/1999,74,228,Michigan,4
Jaret Patterson,RB,LAC,12/23/1999,68,195,Buffalo,2
Kimani Vidal,RB,LAC,8/28/2001,68,215,Troy,2
Najee Harris,RB,LAC,3/9/1998,73,242,Alabama,5
Omarion Hampton,RB,LAC,3/16/2003,72,220,North Carolina,0
Scott Matlock,RB,LAC,6/28/2000,76,296,Boise State,3
Oronde Gadsden II,TE,LAC,6/25/2003,77,236,Syracuse,0
Stevo Klotz,TE,LAC,,,,,
Thomas Yassmin,TE,LAC,10/21/1999,77,251,Utah,1
Tucker Fisk,TE,LAC,1/19/1999,76,285,Stanford,2
Tyler Conklin,TE,LAC,7/30/1995,75,248,Central Michigan; Northwood,8
Will Dissly,TE,LAC,7/8/1996,76,265,Washington,8
Derius Davis,WR,LAC,9/11/2000,68,165,TCU,3
JaQuae Jackson,WR,LAC,1/30/2000,73,184,Rutgers; California (PA),2
Jalen Reagor,WR,LAC,1/2/1999,71,197,TCU,6
Jaylen Johnson,WR,LAC,5/26/2000,74,194,East Carolina; Georgia,0
KeAndre Lambert-Smith,WR,LAC,10/16/2001,73,182,Auburn; Penn State,0
Keenan Allen,WR,LAC,4/27/1992,74,211,California,13
Ladd McConkey,WR,LAC,11/11/2001,72,185,Georgia,2
Luke Grimm,WR,LAC,8/8/2001,72,190,Kansas,0
Mike Williams,WR,LAC,10/4/1994,76,218,Clemson,9
Quentin Johnston,WR,LAC,9/6/2001,74,208,TCU,3
Tre Harris,WR,LAC,2/28/2002,75,210,Mississippi; Louisiana Tech,0
Brenden Rice,WR,"LAC, LV, NE, SEA",3/18/2002,75,210,USC; Colorado,2
Caleb Murphy,LB,"LAC, NE, NYG",12/15/1999,75,254,Ferris State; Grand Valley,3
Trevor Penning,OL,"LAC, NO",5/15/1999,79,325,Northern Iowa,4
Nyheim Hines,RB,"LAC, NO",11/12/1996,69,196,N.C. State,6
Myles Purchase,DB,"LAC, NYG",11/26/2002,71,205,Iowa State,0
Ja'Sir Taylor,DB,"LAC, NYJ",1/8/1999,70,185,Wake Forest,4
Rashad Weaver,LB,"LAC, NYJ",11/10/1997,76,259,Pittsburgh,5
Kana'i Mauga,LB,"LAC, PIT",1/8/2000,74,245,USC,3
David Sharpe,OL,"LAC, PIT",10/21/1995,78,343,Florida,6
Isas Waxter,DB,"LAC, SEA",9/17/2001,74,215,Villanova,0
Clelin Ferrell,LB,"LAC, SF",5/17/1997,76,265,Clemson,7
Michael Dunn,OL,"LAC, SF",8/28/1994,77,315,Maryland,6
Clelin Ferrell,DL,"LAC, SF, WAS",5/17/1997,76,265,Clemson,7
Bobby Hart,OL,"LAC, WAS",8/21/1994,77,310,Florida State,9
Darien Porter,DB,LV,1/6/2001,74,195,Iowa State,0
Darnay Holmes,DB,LV,6/23/1998,70,198,UCLA,6
Decamerion Richardson,DB,LV,3/16/2001,74,192,Mississippi State,2
Eric Stokes,DB,LV,3/1/1999,72,194,Georgia,5
Greedy Vance,DB,LV,10/8/2001,69,177,USC; Florida State; Louisville,0
Hudson Clark,DB,LV,,,,,
Isaiah Pola-Mao,DB,LV,6/30/1999,76,205,USC,4
Jeremy Chinn,DB,LV,2/26/1998,75,220,Southern Illinois,6
John Humphrey,DB,LV,,,,,
Kyu Blu Kelly,DB,LV,5/22/2001,72,188,Stanford,2
Kyu Kelly,DB,LV,5/22/2001,72,188,Stanford,2
Lonnie Johnson,DB,LV,11/4/1995,74,221,Kentucky,7
Terrell Edmunds,DB,LV,1/20/1997,73,217,Virginia Tech,8
Trey Taylor,DB,LV,1/30/2001,72,213,Air Force,0
Tristin McCollum,DB,LV,5/3/1999,75,195,Sam Houston State,2
Adam Butler,DL,LV,4/12/1994,77,300,Vanderbilt,8
Anthony Booker,DL,LV,,,,,
Charles Snowden,DL,LV,3/27/1998,78,250,Virginia,2
JJ Pegues,DL,LV,11/25/2001,74,325,Mississippi; Auburn,0
Jah Joyner,DL,LV,,,,,
Jahfari Harvey,DL,LV,5/2/2001,74,255,SMU; Miami,0
Jonah Laulu,DL,LV,6/30/2000,77,289,Oklahoma; Hawaii,2
Keondre Coburn,DL,LV,5/23/2000,74,332,Texas,2
Laki Tasi,DL,LV,10/24/2003,78,373,,0
Malcolm Koonce,DL,LV,6/6/1998,74,243,Buffalo,5
Maxx Crosby,DL,LV,8/22/1997,77,255,Eastern Michigan,7
Ovie Oghoufo,DL,LV,3/27/2000,76,250,LSU; Texas; Notre Dame,0
Thomas Booker,DL,LV,11/11/1999,75,301,Stanford,3
Tonka Hemingway,DL,LV,10/31/2001,74,284,South Carolina,0
Treven Ma'ae,DL,LV,2/26/2001,75,291,Baylor; Oregon,0
Tyree Wilson,DL,LV,5/20/2000,77,263,Texas Tech,3
Daniel Carlson,K,LV,1/23/1995,77,215,Auburn,8
Greg Joseph,K,LV,8/4/1994,72,206,Florida Atlantic,6
Brennan Jackson,LB,LV,10/14/2000,76,263,Washington State,2
Cody Lindenberg,LB,LV,1/15/2002,74,236,Minnesota,0
Devin White,LB,LV,2/17/1998,72,252,LSU,7
Elandon Roberts,LB,LV,4/22/1994,71,235,Houston; Morgan State,10
Jamal Adams,LB,LV,10/17/1995,73,213,LSU,9
Jaylon Smith,LB,LV,6/14/1995,74,240,Notre Dame,7
Matt Jones,LB,LV,,,,,
Michael Barrett,LB,LV,12/21/1999,72,230,Michigan,0
Tommy Eichenberg,LB,LV,1/11/2001,74,233,Ohio State,2
Jacob Bobenmoyer,LS,LV,5/28/1997,72,235,Northern Colorado,6
Alex Cappa,OL,LV,1/27/1995,77,312,Humboldt State,8
Atonio Mafi,OL,LV,10/20/2000,75,329,UCLA,2
Caleb Rogers,OL,LV,10/3/2001,76,312,Texas Tech,0
Charles Grant,OL,LV,3/22/2002,76,304,William & Mary,0
DJ Glaze,OL,LV,8/4/2002,76,331,Maryland,2
Dalton Wagner,OL,LV,10/5/1998,80,320,Arkansas,2
Dylan Parham,OL,LV,8/24/1999,74,332,Memphis,4
Gottlieb Ayedze,OL,LV,4/10/2000,77,320,Maryland; Frostburg State,0
Jackson Powers-Johnson,OL,LV,1/23/2003,75,325,Oregon,2
Jarrod Hufford,OL,LV,,,,,
Jordan Meredith,OL,LV,1/4/1998,74,300,Western Kentucky,3
Kolton Miller,OL,LV,10/9/1995,80,325,UCLA,8
Parker Clements,OL,LV,,,,,
Stone Forsythe,OL,LV,12/29/1997,80,307,Florida,5
Will Putnam,OL,LV,8/13/2000,76,301,Clemson,1
AJ Cole,P,LV,11/27/1995,76,220,N.C. State,7
Aidan O'Connell,QB,LV,9/1/1998,75,206,Purdue,3
Geno Smith,QB,LV,10/10/1990,75,221,West Virginia,13
Kenny Pickett,QB,LV,6/6/1998,75,220,Pittsburgh,4
Ashton Jeanty,RB,LV,12/2/2003,68,208,Boise State,0
Chris Collier,RB,LV,3/24/2000,70,203,University of Lock Haven,2
Dylan Laube,RB,LV,12/14/1999,69,204,New Hampshire,2
Raheem Mostert,RB,LV,4/9/1992,70,212,Purdue,11
Zamir White,RB,LV,9/18/1999,71,227,Georgia,4
